id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57048545,Casablanca,2334.0,54.0,Ain Sebaa,Appartement,3,1,https://www.avito.ma/fr/ain_sebaa/maisons/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Casablanca_57048545.htm
57047763,Tanger,749906.6,238.0,Médina,Maison,6,2,https://www.avito.ma/fr/m%C3%A9dina/maisons/Maison_%C3%A0_vendre_%C3%A0_un_prix_tr%C3%A8s_raisonnable_57047763.htm
57047372,Casablanca,799924.3,55.0,Al Fida,Maison,3,1,https://www.avito.ma/fr/al_fida/maisons/Vente_d_une_maison_de_deux_%C3%A9tages_57047372.htm
56918966,Casablanca,3200057.1,166.0,Aïn Chock,Maison,10,4,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Superbe_maison_ain_chock_56918966.htm
57042908,Casablanca,4168.0,121.70270270270271,Sidi Maarouf,Appartement,4,1,https://www.avito.ma/fr/sidi_maarouf/maisons/Appartement_%C3%A0_vendre_%C3%A0_Nassim_1_57042908.htm
57042520,Marrakech,1999990.7,100.0,M'Hamid,Maison,6,2,https://www.avito.ma/fr/m_hamid/maisons/Maison_commerciale_%C3%A0_vendre_%C3%A0_Ma%C3%A2ta_Allah_Mahamid_57042520.htm
57042268,Marrakech,1799919.7,122.0,Route d'Ourika,Maison,6,2,https://www.avito.ma/fr/route_d_ourika/maisons/Maison_commerciale_%C3%A0_vendre_%C3%A0_Kwasim__route_d_Ouirgane_57042268.htm
57041870,Marrakech,2300097.3,80.0,Autre secteur,Maison,4,1,https://www.avito.ma/fr/autre_secteur/maisons/Maison_commerciale_%C3%A0_vendre_%C3%A0_Ch%C3%A9rifia__pr%C3%A8s_de_l_a%C3%A9roport_de_Marrakech_57041870.htm
57041688,Marrakech,1100030.9,75.0,Azzouzia,Maison,3,1,https://www.avito.ma/fr/azzouzia/maisons/Maison_%C3%A0_vendre_dans_le_quartier_d_Azzouzia__Marrakech_57041688.htm
57041625,Tanger,4000161.4,178.0,Lalla Chafia,Maison,6,2,https://www.avito.ma/fr/lalla_chafia/maisons/Maison_de_3_%C3%A9tages_avec_garage_et_deux_terrasses_avec_vue_%C3%A0_Tanger_57041625.htm
57041209,Casablanca,1750081.8,65.0,Mers Sultan,Maison,11,4,https://www.avito.ma/fr/mers_sultan/maisons/Maison_Traditionnel_au_coeur_de_Casablanca_57041209.htm
57039819,Casablanca,31001655.4,106.0,Sidi Moumen,Maison,3,1,https://www.avito.ma/fr/sidi_moumen/maisons/Maison_compl%C3%A8te_%C3%A0_vendre_Sidi_Moumen_Jawhara_57039819.htm
57039571,Tanger,849942.1,60.0,Autre secteur,Maison,1,1,https://www.avito.ma/fr/autre_secteur/maisons/Une_nouvelle_maison_%C3%A0_vendre_sur_Tanger_57039571.htm
57039270,Tanger,1299922.0,100.0,Jbel Kbir,Maison,2,1,https://www.avito.ma/fr/jbel_kbir/maisons/Maison_ind%C3%A9pendante_%C3%A0_vendre_magnifique_57039270.htm
57042903,Rabat,399962.2,50.0,Yacoub El Mansour,Maison,2,1,https://www.avito.ma/fr/yacoub_el_mansour/maisons/%C3%89tage_%C3%A0_vendre_57042903.htm
57038049,Marrakech,1600028.6,312.0,M'Hamid,Maison,9,3,https://www.avito.ma/fr/m_hamid/maisons/maison_bon_%C3%A9tat_%C3%A0_vendre_57038049.htm
57037958,Casablanca,999995.4,64.0,Hay Mohammadi,Maison,8,3,https://www.avito.ma/fr/hay_mohammadi/maisons/maison_%C3%A0_vendre_bien_ensoleill%C3%A9e_bon_prix_57037958.htm
57035982,Casablanca,3250074.9,320.0,Hay Inara,Maison,10,4,https://www.avito.ma/fr/hay_inara/maisons/grande_maison_2_Fa%C3%A7ade_57035982.htm
56976887,Casablanca,3300092.6,240.0,Sidi Bernoussi,Maison,4,1,https://www.avito.ma/fr/sidi_bernoussi/maisons/MAISON_%C3%80_VENDRE_%C3%80_BERNOUSSI_56976887.htm
57033578,Tanger,749906.6,238.0,la Nouvelle Ville Ibn Battouta,Maison,6,2,https://www.avito.ma/fr/la_nouvelle_ville_ibn_battouta/maisons/Maison_%C3%A0_vendre_pr%C3%A8s_de_la_for%C3%AAt_diplomatique_%C3%A0_75_millions_57033578.htm
57033407,Casablanca,1799919.7,101.0,Oulfa,Maison,3,1,https://www.avito.ma/fr/oulfa/maisons/Maison____dans_le_meilleur_emplacement_du_quartier_Al_Fa_57033407.htm
57030980,Casablanca,279955.5,60.0,Lissasfa,Maison,3,1,https://www.avito.ma/fr/lissasfa/maisons/Rez_de_chauss%C3%A9e_%C3%A0_vendre_%C3%A0_Kasbah_Amine_2_de_60_m%C3%A8tres_57030980.htm
56066116,Casablanca,1600028.6,72.0,Sidi Maarouf,Maison,7,2,https://www.avito.ma/fr/sidi_maarouf/maisons/maison_hay_saada_56066116.htm
57029832,Rabat,1199886.5,60.0,Yacoub El Mansour,Villa,9,3,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Yaacoub_El_Mansour_57029832.htm
57029453,Marrakech,899959.8,72.0,Route de Tamansourt,Maison,4,1,https://www.avito.ma/fr/route_de_tamansourt/maisons/Triplex_%C3%A0_vendre_57029453.htm
57033387,Marrakech,1439.4,60.0,Autre secteur,Maison,1,1,https://www.avito.ma/fr/autre_secteur/maisons/Maison_de_plain_pied_%C3%A0_mettre_en_hypoth%C3%A8que_pour_une_famille_l%C3%A9g%C3%A8re_%C3%A0_Azilal_57033387.htm
57029204,Marrakech,519968.8,68.0,M'Hamid,Maison,4,1,https://www.avito.ma/fr/m_hamid/maisons/%C3%A0_vendre_3em_68_m_3_ch_salon_52_milion_sinseur_57029204.htm
57029122,Marrakech,550015.4,200.0,Route de Ouarzazate,Maison,5,1,https://www.avito.ma/fr/route_de_ouarzazate/maisons/maison_%C3%A0_vendre_bonne_affaire_57029122.htm
56143167,Casablanca,1199886.5,56.0,Sidi Bernoussi,Maison,10,4,https://www.avito.ma/fr/sidi_bernoussi/maisons/Maison_%C3%A0_vendre_56143167.htm
57028568,Marrakech,7781.0,170.0,M'Hamid,Appartement,6,2,https://www.avito.ma/fr/m_hamid/maisons/BOUAKAZ_Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Marrakech_57028568.htm
57027893,Marrakech,1499993.0,80.0,Massira 2,Maison,1,1,https://www.avito.ma/fr/massira_2/maisons/maison_commerciale_57027893.htm
57027594,Marrakech,1499993.0,100.0,Centre Ville,Maison,5,1,https://www.avito.ma/fr/centre_ville/maisons/___Maison_magnifique_%C3%A0_vendre_au_c_ur_de_Marrakech___pr%C3%A8s_de_la_place_Jemaa_el_Fna_57027594.htm
57027056,Rabat,2300097.3,9225.344262295082,Guich Oudaya,Villa,5,3,https://www.avito.ma/fr/guich_oudaya/maisons/Duplex_Guich_des_Oudayas_%C3%A0_5_min_de_Hay_Riad_57027056.htm
57025300,Tanger,2200061.8,100.0,Ben Dibane,Maison,7,2,https://www.avito.ma/fr/ben_dibane/maisons/Maison_%C3%A0_vendre_%C3%A0_Mouwadifine_57025300.htm
57023611,Casablanca,1199886.5,1114.4549763033176,Hay Mohammadi,Maison,5,1,https://www.avito.ma/fr/hay_mohammadi/maisons/Maison_%C3%A0_vendre_57023611.htm
57023601,Casablanca,2100026.2,300.0,Oulfa,Maison,4,1,https://www.avito.ma/fr/oulfa/maisons/Maison_sous_sol_plus_2_%C3%89tages_57023601.htm
57022744,Casablanca,2600023.9,385.0,Aïn Chock,Villa,7,2,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Hay_ousra_57022744.htm
