id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
57047839,Casablanca,16000.0,100.0,Aïn Diab,Appartement,4,1,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/APPARTEMENT_MEUBL%C3%89_NEUF_AVEC_PISCINE_VUE_SUR_MER_57047839.htm
57047627,Marrakech,4000.0,66.0,Autre secteur,Appartement,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_louer_66m_R%C3%A9sidence_AL_Imane_Chrifia_57047627.htm
57047558,Marrakech,2000.0,500.0,Les Portes de Marrakech,Villa,10,4,https://www.avito.ma/fr/les_portes_de_marrakech/villas_et_riads/DOHA_ABWAB_Mrrakech_57047558.htm
57047463,Marrakech,1700.0,65.0,M'Hamid,Maison,4,1,https://www.avito.ma/fr/m_hamid/appartements/Hypoth%C3%A8que_pr%C3%A8s_de_Bim_%C3%A0_Mohammedia_9_57047463.htm
57047414,Marrakech,2500.0,60.0,M'Hamid,Appartement,3,1,https://www.avito.ma/fr/m_hamid/appartements/Appartement_%C3%A0_louer_%C3%A0_Mahamid_57047414.htm
57047309,Casablanca,9800.0,96.0,Gauthier,Appartement,3,1,https://www.avito.ma/fr/gauthier/appartements/Superbe_Appartement_Meubl%C3%A9_%C3%A0_Gauthier_57047309.htm
57047308,Casablanca,1000.0,60.0,Ain Sebaa,Maison,1,1,https://www.avito.ma/fr/ain_sebaa/appartements/Chambre_%C3%A0_louer_pour_c%C3%A9libataire_1000dh_57047308.htm
57047305,Casablanca,3800.0,58.0,Hay Hassani,Appartement,2,1,https://www.avito.ma/fr/hay_hassani/appartements/Appartement_%C3%A0_louer_58_m%C2%B2_%C3%A0_Casablanca_57047305.htm
57047096,Marrakech,7000.0,70.0,Route de Safi,Maison,3,1,https://www.avito.ma/fr/route_de_safi/appartements/burj_Malak_57047096.htm
57047039,Rabat,4500.0,30.0,Hassan,Appartement,1,1,https://www.avito.ma/fr/hassan/appartements/Studio_meubl%C3%A9_%C3%A0_louer_%C3%A0_Hassan_57047039.htm
57013815,Marrakech,11000.0,250.0,Guéliz,Appartement,4,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_173_m%C2%B2_%C3%A0_Marrakech_57013815.htm
57046966,Marrakech,13000.0,90.0,Agdal,Maison,2,1,https://www.avito.ma/fr/agdal/appartements/tr%C3%A8s_joli_appart_2_chambres_prestigia_Marrakech_57046966.htm
