id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
annonce_6471,Marrakech,1100000.0,83.0,Boukar,Appartement,2,3,https://www.mubawab.ma/fr/a/8100957/appartement-%C3%A0-vendre-de-83-0-m%C2%B2-%C3%A0-marrakech-ain-iti
annonce_6472,Marrakech,4755000.0,410.0,Hay Targa,Villa,5,8,https://www.mubawab.ma/fr/a/8097026/villa-%C3%A0-vendre-de-410-0-m%C2%B2-%C3%A0-marrakech-targa
annonce_6473,Marrakech,2500000.0,201.0,Majorelle,Villa,5,5,https://www.mubawab.ma/fr/a/8096338/villa-%C3%A0-vendre-de-201-0-m%C2%B2-%C3%A0-marrakech-rouidate-majorelle
annonce_6474,Marrakech,5500000.0,178.0,Guéliz,Appartement,3,4,https://www.mubawab.ma/fr/a/8100324/appartement-%C3%A0-vendre-de-178-0-m%C2%B2-%C3%A0-marrakech-gueliz
annonce_6475,Marrakech,3200000.0,158.0,Guéliz,Appartement,3,3,https://www.mubawab.ma/fr/a/8089589/appartement-%C3%A0-vendre-de-158-0-m%C2%B2-%C3%A0-marrakech-gueliz
annonce_6477,Marrakech,3200000.0,178.0,Hivernage,Appartement,3,4,https://www.mubawab.ma/fr/a/8089584/appartement-%C3%A0-vendre-de-178-0-m%C2%B2-%C3%A0-marrakech-hivernage
annonce_6478,Marrakech,2000000.0,84.0,Hay Al Bahja,Villa,6,7,https://www.mubawab.ma/fr/a/8089601/villa-%C3%A0-vendre-de-84-0-m%C2%B2-%C3%A0-marrakech-hay-el-bahja
annonce_6479,Marrakech,1900000.0,80.0,Issil,Villa,5,7,https://www.mubawab.ma/fr/a/8089542/villa-%C3%A0-vendre-de-80-0-m%C2%B2-%C3%A0-marrakech-koudiat-laabid
annonce_6480,Casablanca,1300000.0,140.0,Route Casablanca,Appartement,3,4,https://www.mubawab.ma/fr/a/8079144/appartement-%C3%A0-vendre-de-140-0-m%C2%B2-%C3%A0-marrakech-hay-charaf
annonce_6481,Marrakech,2500000.0,370.0,Sidi Abbad,Villa,6,6,https://www.mubawab.ma/fr/a/8065478/villa-%C3%A0-vendre-de-370-0-m%C2%B2-%C3%A0-marrakech-sidi-abbad
annonce_6482,Marrakech,1385000.0,111.0,Hay Targa,Appartement,2,2,https://www.mubawab.ma/fr/a/8072301/appartement-%C3%A0-vendre-de-111-0-m%C2%B2-%C3%A0-marrakech-targa
annonce_6483,Marrakech,3750000.0,313.0,Hay Targa,Villa,5,8,https://www.mubawab.ma/fr/a/8069554/villa-%C3%A0-vendre-de-313-0-m%C2%B2-%C3%A0-marrakech-zohor-targa-zephyr
annonce_6484,Marrakech,11000000.0,22170.0,Route de Fez,Villa,4,5,https://www.mubawab.ma/fr/a/8152977/villa-%C3%A0-vendre-de-22170-0-m%C2%B2-%C3%A0-marrakech-ouled-jelal
annonce_6485,Rabat,11000000.0,1165.0,Quartier Des Ambassades,Villa,4,7,https://www.mubawab.ma/fr/a/8152970/villa-%C3%A0-vendre-de-1165-0-m%C2%B2-%C3%A0-rabat-menzah-rabat
