id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
1289,Marrakech,58000.0,400.0,Route de Ouarzazate,Villa,4,5,https://www.mubawab.ma/fr/a/8286288/villa-situ%C3%A9e-au-c%C5%93ur-du-domaine-d%E2%80%99amelkis-
1290,Marrakech,10000.0,70.0,Ouasis,Appartement,2,1,https://www.mubawab.ma/fr/a/8285034/moderne-appartement-meubl%C3%A9-en-location
1291,Casablanca,27000.0,460.0,Polo,Villa,7,5,https://www.mubawab.ma/fr/a/8274923/magnifique-villa-%C3%A0-louer-polo-casablanca
1292,Rabat,16000.0,160.0,Haut Agdal,Appartement,3,2,https://www.mubawab.ma/fr/a/8231035/appartement-meubl%C3%A9-%C3%A0-louer-%C3%A0-l-agdal
1293,Rabat,45000.0,2000.0,Souissi,Appartement,6,6,https://www.mubawab.ma/fr/a/8286588/villa-%C3%A0-louer-%C3%A0-souissi
1301,Tanger,12000.0,100.0,Tanger City Center,Appartement,2,2,https://www.mubawab.ma/fr/a/7968432/appartement-meubl%C3%A9-%E2%80%93-city-centre-%E2%80%93-tanger
1302,Casablanca,12500.0,115.0,Bourgogne Ouest,Appartement,3,3,https://www.mubawab.ma/fr/a/8292478/appartement-%C3%A0-louer-de-115-0-m%C2%B2-%C3%A0-casablanca-bourgogne-anfa
1303,Casablanca,9000.0,56.0,Bourgogne Ouest,Appartement,1,1,https://www.mubawab.ma/fr/a/8292476/appartement-%C3%A0-louer-de-56-0-m%C2%B2-%C3%A0-casablanca-bourgogne-anfa
1304,Rabat,80000.0,2000.0,Souissi,Villa,5,5,https://www.mubawab.ma/fr/a/8284501/villa-de-haut-standing-%C3%A0-louer-%C3%A0-souissi-5-pi%C3%A8ces-confortables-air-conditionn%C3%A9-et-chemin%C3%A9e
1305,Rabat,18500.0,170.0,Riyad,Appartement,3,1,https://www.mubawab.ma/fr/a/8277062/bel-appartement-en-location-%C3%A0-riyad-2-pi%C3%A8ces-confortables-concierge-et-climatisation
1306,Casablanca,7700.0,59.0,Oasis,Appartement,1,1,https://www.mubawab.ma/fr/a/8292472/tres-joli-produit-moderne-oasis
1307,Casablanca,14000.0,164.0,Gauthier,Appartement,3,2,https://www.mubawab.ma/fr/a/8257034/appartement-moderne-164-m2-3-cac-gauthier
1308,Casablanca,21000.0,143.0,Casablanca Finance City,Appartement,3,3,https://www.mubawab.ma/fr/a/8291532/dernier-etage-tres-moderne-sur-cfc
1309,Marrakech,11000.0,76.0,Route Casablanca,Appartement,2,2,https://www.mubawab.ma/fr/a/8021626/location-duplex-2-chambres-route-de-casablanca
1310,Casablanca,7500.0,50.0,Riviera,Appartement,1,1,https://www.mubawab.ma/fr/a/8292461/studio-neuf-meubl%C3%A9-luxueux-50m2-%C3%A0-quartier-riviera
1314,Rabat,19000.0,180.0,Agdal,Appartement,3,2,https://www.mubawab.ma/fr/a/8072015/appartement-meubl%C3%A9-de-standing-%C3%A0-louer-%C3%A0-l-agdal
1316,Rabat,11000.0,80.0,Rabat,Appartement,2,1,https://www.mubawab.ma/fr/a/8287179/appartement-meubl%C3%A9-%C3%A0-louer-%C3%A0-hassan
1317,Casablanca,19000.0,175.0,Racine,Appartement,4,3,https://www.mubawab.ma/fr/a/8288844/apparemment-luxueux-meubl%C3%A9-%C3%A0-louer
1319,Casablanca,8500.0,115.0,Racine Extension,Appartement,2,1,https://www.mubawab.ma/fr/a/8270193/appartement-2ch-vide
1320,Tanger,35000.0,400.0,Mediouna,Villa,4,5,https://www.mubawab.ma/fr/a/8278550/villa-de-luxe-%C3%A0-mediouna-vue-mer-exceptionnelle
1321,Marrakech,13500.0,85.0,Agdal,Appartement,2,2,https://www.mubawab.ma/fr/a/8240503/appartement-%C3%A0-louer-prestigia-a-marrakech
1322,Casablanca,14000.0,128.0,Maârif Extension,Appartement,2,2,https://www.mubawab.ma/fr/a/8286263/location-appartement-fourat
1325,Casablanca,9000.0,150.0,Quartier Bachkou,Appartement,3,2,https://www.mubawab.ma/fr/a/8285657/appartement-meubl%C3%A9-de-150-m2-%C3%A0-l-oasis
1357,Rabat,21000.0,164.0,Souissi,Appartement,3,3,https://www.mubawab.ma/fr/a/8037736/location-appartement-%C3%A0-l%E2%80%99orangeraie-%E2%80%93-souissi
1358,Casablanca,13000.0,140.0,Ferme Bretonne (Hay Arraha),Appartement,3,3,https://www.mubawab.ma/fr/a/8292455/appartement-haut-standing-%C3%A0-louer-%E2%80%93-ferme-bretonne
1359,Marrakech,9000.0,72.0,Guéliz,Appartement,2,1,https://www.mubawab.ma/fr/a/8278851/appartement-meubl%C3%A9-%C3%A0-louer-%C3%A0-victor-hugo
1375,Marrakech,7000.0,160.0,Route de Fez,Appartement,3,1,https://www.mubawab.ma/fr/a/8288935/duplex-meubl%C3%A9-3-chambres-avec-terrasse-%C3%A0-louer
1379,Marrakech,18000.0,140.0,Route de Fez,Maison,3,2,https://www.mubawab.ma/fr/a/8240445/maison-%C3%A0-louer-%E2%80%93-marrakech-route-de-f%C3%A8s-proche-jardin-majorelle
