id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57426809,Casablanca,12000 DH,98 m2,Casablanca Finance City,Appartement,4,0,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_a_louer_57426809.htm,il y a 10 heures
57467121,Casablanca,8500 DH,53 m2,Anfa,Appartement,2,0,https://www.avito.ma/fr/anfa/appartements/Studio_%C3%A0_louer_53_m%C2%B2_%C3%A0_Casablanca_57467121.htm,il y a 10 heures
57141766,Tanger,10000 DH,100 m2,Centre ville,Appartement,3,01,https://www.avito.ma/fr/centre_ville/appartements/Appartement_meubl%C3%A9_moderne_%C3%A0_cot%C3%A9_de_Battouta_Mall_57141766.htm,il y a 15 heures
57430343,Rabat,21000 DH,235 m2,Agdal,Bureau,0,0,https://www.avito.ma/fr/agdal/bureaux/plateau_bureau_%C3%A0_louer_agdal_rabat_57430343.htm,il y a 1 semaine
57115690,Rabat,15000 DH,100 m2,Agdal,Appartement,3,0,https://www.avito.ma/fr/agdal/appartements/Appartement_bien_meubl%C3%A9_%C3%A0_louer_Rabat_agdal_57115690.htm,il y a 1 semaine
57324447,Rabat,1600 DH,80 m2,Hay Riad,Appartement,3,1,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_%C3%A0_la_nuit_%C3%A0_Hay_Riad_Rabat_57324447.htm,il y a 1 semaine
56178734,Rabat,14000 DH,130 m2,Hay Riad,Appartement,4,0,https://www.avito.ma/fr/hay_riad/appartements/Superbe_appartement_de_3_ch_salon_a_Prestigia_56178734.htm,il y a 1 semaine
57050368,Rabat,15000 DH,95 m2,Hay Riad,Appartement,3,0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_Meubl%C3%A9_%C3%A0_Louer_Hay_Riad_57050368.htm,il y a 1 semaine
57379657,Casablanca,4500 DH,230 m2,Ben Ejdia,Bureau,0,0,https://www.avito.ma/fr/ben_ejdia/bureaux/C%C3%A8de_bureau_pour_toute_activit%C3%A9s_57379657.htm,il y a 1 semaine
57191360,Casablanca,4800 DH,17 m2,Ain Sebaa,Commerce,0,0,https://www.avito.ma/fr/ain_sebaa/local/Local_co17_m%C2%B2_%C3%A0_louer_%C3%A0_Ibnou_Badis_BD_CHEFCHAOUNI_57191360.htm,il y a 1 semaine
57430137,Tanger,4000 DH,0 m2,la Nouvelle Ville Ibn Battouta,null,2,0,https://www.avito.ma/fr/la_nouvelle_ville_ibn_battouta/appartements/%D8%B4%D9%82%D9%82_%D9%84%D9%84%D9%83%D8%B1%D8%A7%D8%A1_%D9%81%D9%8A_%D8%B7%D9%86%D8%AC%D8%A9_57430137.htm,il y a 1 semaine
57430146,Casablanca,5250 DH,96 m2,Ain Sebaa,null,4,0,https://www.avito.ma/fr/ain_sebaa/appartements/Des_Apparts_Hauts_Standing_C%C3%A9libataires_Couple_57430146.htm,il y a 1 semaine
57322965,Casablanca,18000 DH,160 m2,Racine,Appartement,5,0,https://www.avito.ma/fr/racine/appartements/Appartement_Meubl%C3%A9_%C3%A0_Louer_%C3%A0_Racine_57322965.htm,il y a 1 semaine
57219392,Rabat,15000 DH,95 m2,Agdal,Appartement,0,2,https://www.avito.ma/fr/agdal/bureaux/Appartement_usage_de_bureau_Rabat_agdal_57219392.htm,il y a 1 semaine
57349522,Casablanca,8500 DH,0 m2,Les Princesses,Appartement,1,0,https://www.avito.ma/fr/les_princesses/appartements/Studio_%C3%A0_louer_les_princesses_57349522.htm,il y a 1 semaine
57119604,Rabat,13000 DH,170 m2,Souissi,Appartement,6,0,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_louer_Rabat_Souissi_57119604.htm,il y a 1 semaine
57323119,Casablanca,7000 DH,55 m2,Gauthier,Appartement,2,0,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_louer_55_m%C2%B2_%C3%A0_Casablanca_57323119.htm,il y a 1 semaine
57413548,Rabat,7500 DH,75 m2,Agdal,null,2,0,https://www.avito.ma/fr/agdal/appartements/Appart_1ch_salon_terrasse_longue_dur%C3%A9e_57413548.htm,il y a 1 semaine
57429950,Marrakech,12000 DH,86 m2,Guéliz,Appartement,3,0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_louer_86_m%C2%B2_%C3%A0_Marrakech_57429950.htm,il y a 1 semaine
57324146,Casablanca,9000 DH,150 m2,Maarif,Appartement,5,0,https://www.avito.ma/fr/maarif/appartements/Appartement_Haut_Standing_%C3%A0_Maarif__Casablanca_57324146.htm,il y a 1 semaine
57429905,Marrakech,300 DH,88 m2,Victor Hugo,Appartement,4,0,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_aujourd_hui_Victor_Hugo_%C3%A9quip%C3%A9_57429905.htm,il y a 1 semaine
57429887,Casablanca,6500 DH,45 m2,Maarif,Appartement,2,0,https://www.avito.ma/fr/maarif/appartements/Studio_Moderne___Ma%C3%A2rif__proche_Stade_Mohammed_V_57429887.htm,il y a 1 semaine
57429877,Casablanca,4400 DH,60 m2,Oulfa,Appartement,2,0,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57429877.htm,il y a 1 semaine
57429843,Marrakech,300 DH,90 m2,M'Hamid,Appartement,3,0,https://www.avito.ma/fr/m_hamid/appartements/Appartement_%C3%A0_M_hamid_Marrakech_57429843.htm,il y a 1 semaine
57429799,Marrakech,300 DH,80 m2,Guéliz,Appartement,5,0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_Gu%C3%A9liz_Red_chousez_57429799.htm,il y a 1 semaine
57429794,Casablanca,12500 DH,120 m2,Ferme Bretone,Appartement,4,0,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_meubl%C3%A9_3_chambres_laya_ocp_57429794.htm,il y a 1 semaine
57429782,Marrakech,300 DH,85 m2,Jemaa El Fna,Appartement,5,0,https://www.avito.ma/fr/jemaa_el_fna/appartements/Appartement_300_Lila_Jemaa_el_fna_57429782.htm,il y a 1 semaine
57429763,Tanger,20100 DH,50 m2,Centre ville,null,0,0,https://www.avito.ma/fr/centre_ville/local/Rue_Mohammed_V__pr%C3%A8s_de_la_place_des_Nations_57429763.htm,il y a 1 semaine
57429703,Tanger,5500 DH,70 m2,De La Plage,Appartement,3,0,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_louer_Tanger_marina_57429703.htm,il y a 1 semaine
57429676,Casablanca,9000 DH,107 m2,Bourgogne,Appartement,2,0,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1888___Appartement_%C3%A0_louer_%C3%A0_Bourgogne_57429676.htm,il y a 1 semaine
55179553,Rabat,14000 DH,170 m2,Haut Agdal,null,4,0,https://www.avito.ma/fr/haut_agdal/appartements/Haut_agdal_joli_apt_bien_meubl%C3%A9_avec_terrasse_55179553.htm,il y a 1 semaine
57429659,Casablanca,7500 DH,52 m2,Abdelmoumen,Appartement,2,0,https://www.avito.ma/fr/abdelmoumen/appartements/%C3%80_louer_splendide_studio_%C3%A0_Bev_Abdelmoumen_57429659.htm,il y a 1 semaine
54031264,Rabat,20000 DH,250 m2,Haut Agdal,Villa,6,0,https://www.avito.ma/fr/haut_agdal/villas_et_riads/Villa_Haut_Agdal_%C3%A0_usage_de_bureaux_ou_habitation_54031264.htm,il y a 1 semaine
57429666,Casablanca,7500 DH,90 m2,Belvédère,Bureau,0,0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/bureaux/Bureau_90m2_%C3%A0_3_minutes_Casavoyageur_57429666.htm,il y a 1 semaine
57001985,Tanger,35000 DH,230 m2,Centre ville,null,0,0,https://www.avito.ma/fr/centre_ville/local/Locaux_Commerciaux_%C3%A0_Louer___Centre_Ville_Tanger_57001985.htm,il y a 1 semaine
56769957,Casablanca,5300 DH,42 m2,Roches Noires,Appartement,2,0,https://www.avito.ma/fr/roches_noires/appartements/Studio_Meubl%C3%A9_Neuf_%C3%A0_ROCHES_NOIRES_56769957.htm,il y a 1 semaine
57429576,Marrakech,7000 DH,55 m2,Hivernage,Appartement,2,0,https://www.avito.ma/fr/hivernage/appartements/Bel_appartement_meubl%C3%A9_55_m%C2%B2_sur_r%C3%A9sidence_piscine_57429576.htm,il y a 1 semaine
57418412,Casablanca,33000 DH,400 m2,Aïn Diab,Villa,7,0,https://www.avito.ma/fr/a%C3%AFn_diab/villas_et_riads/Jolie_villa_%C3%A0_louer_Ain_Diab_57418412.htm,il y a 1 semaine
57349007,Casablanca,58000 DH,715 m2,Lissasfa,null,0,0,https://www.avito.ma/fr/lissasfa/local/%C3%80_LOUER___D%C3%A9p%C3%B4t_de_stockage___Lissasfa_57349007.htm,il y a 16 heures
56406231,Rabat,3800 DH,750 m2,Agdal,Bureau,0,0,https://www.avito.ma/fr/agdal/bureaux/Bureaux_priv%C3%A9s_am%C3%A9nag%C3%A9s_et_%C3%A9quip%C3%A9s_56406231.htm,il y a 11 heures
55815069,Casablanca,45000 DH,500 m2,Mers Sultan,Commerce,0,0,https://www.avito.ma/fr/mers_sultan/local/Local_500_M2_Casablanca_Emplacement_premium_55815069.htm,il y a 11 heures
57429551,Casablanca,6500 DH,64 m2,Mers Sultan,null,0,0,https://www.avito.ma/fr/mers_sultan/bureaux/Plateau_cloisonn%C3%A9_%C3%A0_proximit%C3%A9_Hassan_2_64m2_57429551.htm,il y a 1 semaine
57429538,Casablanca,4000 DH,86 m2,Oulfa,Appartement,5,0,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_86_m%C2%B2_%C3%A0_Casablanca_57429538.htm,il y a 1 semaine
56944802,Casablanca,7000 DH,60 m2,Maarif,Appartement,2,0,https://www.avito.ma/fr/maarif/appartements/Studio_Meubl%C3%A9_Neuf_%C3%A0_MAARIF_56944802.htm,il y a 1 semaine
57317043,Rabat,14000 DH,90 m2,Hassan,Appartement,3,1,https://www.avito.ma/fr/hassan/appartements/Appartement_%C3%A0_louer_meubl%C3%A9_sur_Hassan_57317043.htm,il y a 1 semaine
57429522,Marrakech,8500 DH,88 m2,Victor Hugo,Appartement,3,0,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_location_longue_dur%C3%A9e_vide_57429522.htm,il y a 1 semaine
57316972,Rabat,13500 DH,73 m2,Souissi,null,2,1,https://www.avito.ma/fr/souissi/appartements/Souissi_Appart_meubl%C3%A9_terrasse_de_haut_standing_57316972.htm,il y a 1 semaine
57429519,Casablanca,3800 DH,60 m2,Oulfa,Appartement,3,0,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_louer_60_m%C2%B2_%C3%A0_Casablanca_57429519.htm,il y a 1 semaine
57429504,Casablanca,4500 DH,68 m2,Sidi Maarouf,Appartement,3,0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_louer_%C3%A0_Sidi_Maarouf_R%C3%A9sidence_Al_Mawlid_57429504.htm,il y a 1 semaine
57429501,Casablanca,4500 DH,80 m2,Sidi Maarouf,null,3,0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_%C3%A0_louer_sidi_maarouf_apr%C3%A8s_dacia_57429501.htm,il y a 1 semaine
57429489,Casablanca,4500 DH,80 m2,Sidi Maarouf,null,3,0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_%C3%A0_louer_lot_Soufiane_proche_nershore_57429489.htm,il y a 1 semaine
56770124,Casablanca,7500 DH,94 m2,Ain Sebaa,Appartement,5,0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_meubl%C3%A9_Neuf_%C3%A0_AIN_SBAA_56770124.htm,il y a 1 semaine
57429482,Casablanca,4500 DH,78 m2,Sidi Maarouf,Appartement,3,0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_neuf_%C3%A0_louer_Sidi_Maarouf_proche_Nershore_57429482.htm,il y a 1 semaine
57429452,Casablanca,3150 DH,57 m2,Ain Sebaa,Appartement,2,0,https://www.avito.ma/fr/ain_sebaa/appartements/Studio_Fille_Homme_C%C3%A9libataire_et_Apparts_Meubl%C3%A9s_57429452.htm,il y a 1 semaine
57012671,Marrakech,11000 DH,108 m2,Hivernage,Appartement,3,0,https://www.avito.ma/fr/hivernage/appartements/Spacieux_Appartement_%C3%80_Louer___Quartier_Hivernage_57012671.htm,il y a 1 semaine
57429421,Marrakech,16000 DH,250 m2,Route de Casablanca,Villa,3,0,https://www.avito.ma/fr/route_de_casablanca/villas_et_riads/Villa_plain_pied_meubl%C3%A9e_avec_piscine_priv%C3%A9e_57429421.htm,il y a 1 semaine
57305103,Marrakech,11000 DH,83 m2,Guéliz,Bureau,0,0,https://www.avito.ma/fr/gu%C3%A9liz/bureaux/Bureau_Spacieux_%C3%80_Gu%C3%A9liz_Proche_Du_Carr%C3%A9_Eden_57305103.htm,il y a 1 semaine
57429423,Rabat,6500 DH,28 m2,Hay Riad,Appartement,1,0,https://www.avito.ma/fr/hay_riad/appartements/Studio_meubl%C3%A9_tt_inclus_hay_riad_57429423.htm,il y a 1 semaine
57429399,Casablanca,5000 DH,78 m2,Ain Sebaa,null,3,0,https://www.avito.ma/fr/ain_sebaa/appartements/Meubl%C3%A9s_Filles_Femmes_C%C3%A9libats_Couple_Africaines_57429399.htm,il y a 1 semaine
57429400,Marrakech,25000 DH,320 m2,Targa,null,6,0,https://www.avito.ma/fr/targa/villas_et_riads/Longue_dur%C3%A9e_57429400.htm,il y a 1 semaine
57429318,Casablanca,4500 DH,90 m2,Ain Sebaa,null,3,0,https://www.avito.ma/fr/ain_sebaa/appartements/Des_Apparts_Filles_Hommes_C%C3%A9libataires_Ou_Couple_57429318.htm,il y a 1 semaine
57429325,Marrakech,12000 DH,1000 m2,Route d'Ourika,Maison,5,0,https://www.avito.ma/fr/route_d_ourika/maisons/Maison_dans_les_p%C3%A9pini%C3%A8res_de_ghmat_57429325.htm,il y a 1 semaine
