id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce,date_annonce
57374711,Marrakech,19454 DH,260 m2,Route de Tahanaoute,Villa,4,0,https://www.avito.ma/fr/route_de_tahanaoute/maisons/Villa_%C3%A0_5_minutes_de_Morocco_Mall_marrakech_57374711.htm,il y a 8 heures
56921942,Casablanca,19454 DH,378 m2,Sidi Bernoussi,Maison,4,0,https://www.avito.ma/fr/sidi_bernoussi/maisons/Maison_%C3%A0_vendre_%C3%A0_Qods_Sidi_bernoussi_56921942.htm,il y a 59 minutes
57346043,Casablanca,16674 DH,287 m2,Hay Laymouna,Maison,7,0,https://www.avito.ma/fr/hay_laymouna/maisons/Maison_double_fa%C3%A7ade_287_m%C2%B2_habitable_4_niveaux_57346043.htm,il y a 22 heures
57457764,Rabat,36129 DH,500 m2,Autre secteur,Villa,6,0,https://www.avito.ma/fr/autre_secteur/maisons/Magnifique_Villa_%C3%A0_Vendre_Menzeh_57457764.htm,il y a 3 jours
57457171,Marrakech,4168 DH,200 m2,Route d'Ourika,Maison,3,0,https://www.avito.ma/fr/route_d_ourika/maisons/Maison_%C3%A0_vendre_route_d_Ourika_57457171.htm,il y a 3 jours
57456272,Casablanca,11672 DH,260 m2,Ben M'sick,Maison,5,0,https://www.avito.ma/fr/ben_m_sick/maisons/Maison_de_famille_beaux_volumes_avec_Garage_57456272.htm,il y a 3 jours
57456224,Tanger,4168 DH,50 m2,Mesnana,Maison,1,0,https://www.avito.ma/fr/mesnana/maisons/Maison_libre_%C3%A0_vendre_57456224.htm,il y a 3 jours
57455708,Casablanca,8559 DH,80 m2,Oulfa,Maison,8,0,https://www.avito.ma/fr/oulfa/maisons/Maison_%C3%A0_vendre_%C3%A0_Haj_Fatih_avec_deux_%C3%A9tages_57455708.htm,il y a 4 jours
57136769,Rabat,9171 DH,130 m2,Yacoub El Mansour,Maison,3,0,https://www.avito.ma/fr/yacoub_el_mansour/maisons/%C3%80_Vendre___Maison_commerciale_R1_%C3%A0_CYM_Rabat_57136769.htm,il y a 4 jours
55920425,Rabat,22789 DH,172 m2,Yacoub El Mansour,Maison,9,0,https://www.avito.ma/fr/yacoub_el_mansour/maisons/%C3%80_Vendre_Maison_R2_de_172_m_Hay_El_Menzeh_Rabat_55920425.htm,il y a 4 jours
56647390,Rabat,24178 DH,170 m2,Yacoub El Mansour,Maison,9,0,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Maison_R1_%C3%A0_Vendre_170m_Hay_El_Menzeh_Idafi__Rabat_56647390.htm,il y a 4 jours
57453731,Marrakech,12228 DH,90 m2,Massira 2,Maison,9,0,https://www.avito.ma/fr/massira_2/maisons/Maison_a_vendre_57453731.htm,il y a 4 jours
57453425,Casablanca,170 DH,77 m2,Al Fida,Maison,10,0,https://www.avito.ma/fr/al_fida/maisons/Maison_%C3%A0_vendre_%C3%A0_Drissia_2_pr%C3%A8s_de_Marjane_57453425.htm,il y a 4 jours
57453133,Casablanca,22233 DH,100 m2,Oulfa,Maison,10,0,https://www.avito.ma/fr/oulfa/maisons/Maison_Oulfa_boulevard_Malwiya_57453133.htm,il y a 4 jours
56619746,Marrakech,6114 DH,130 m2,Ancienne Médina,Maison,5,0,https://www.avito.ma/fr/ancienne_m%C3%A9dina/maisons/Vente_Maison_6_pi%C3%A8ces_de_130_m2_%C3%A0_Marrakech_56619746.htm,il y a 4 jours
56687993,Marrakech,7781 DH,108 m2,Ancienne Médina,Maison,8,0,https://www.avito.ma/fr/ancienne_m%C3%A9dina/maisons/Vente_Maison_8_pi%C3%A8ces_de_108_m%C2%B2_%C3%A0_Marrakech_56687993.htm,il y a 4 jours
57451905,Tanger,4168 DH,55 m2,Mesnana,Maison,2,0,https://www.avito.ma/fr/mesnana/maisons/Maison_avec_commerce_%C3%A0_vendre_Hay_Rahrah_57451905.htm,il y a 5 jours
57451231,Tanger,4724 DH,150 m2,Msala,Maison,5,0,https://www.avito.ma/fr/msala/maisons/Maison_Tanger_centre_ville_57451231.htm,il y a 5 jours
57450993,Tanger,4446 DH,53 m2,Branes Kdima,Maison,3,0,https://www.avito.ma/fr/branes_kdima/maisons/Maison_%C3%A0_vendre_%C3%A0_l_ancienne_Beranes_57450993.htm,il y a 5 jours
57449839,Tanger,7781 DH,50 m2,Casabarata,Maison,4,0,https://www.avito.ma/fr/casabarata/maisons/Maison_%C3%A0_vendre__excellent_emplacement_57449839.htm,il y a 5 jours
57449788,Tanger,4446 DH,60 m2,Autre secteur,Maison,2,0,https://www.avito.ma/fr/autre_secteur/maisons/Maison_neuve_de_construction_r%C3%A9cente_%C3%A0_vendre_%C3%A0_Tanger_57449788.htm,il y a 5 jours
57448562,Casablanca,16674 DH,77 m2,Bourgogne,Maison,7,0,https://www.avito.ma/fr/bourgogne/maisons/Maison_%C3%A0_Bourgone_pr%C3%A8s_de_la_mer_et_de_la_mosqu%C3%A9e_Hassan_II_57448562.htm,il y a 5 jours
57447979,Tanger,3612 DH,71 m2,Achennad,null,2,0,https://www.avito.ma/fr/achennad/maisons/Garage_%C3%A0_vendre_%C3%A0_Hay_Al_Mars_57447979.htm,il y a 6 jours
57447128,Tanger,17786 DH,95 m2,Boukhalef,Maison,4,0,https://www.avito.ma/fr/boukhalef/maisons/Maison_%C3%A0_vendre___Boukhalef__Tanger_57447128.htm,il y a 6 jours
57341554,Tanger,16674 DH,207 m2,Jirrari,Maison,12,0,https://www.avito.ma/fr/jirrari/maisons/Maison_%C3%A0_vendre_dans_un_emplacement_strat%C3%A9gique_57341554.htm,il y a 6 jours
57446433,Marrakech,22233 DH,161 m2,Ancienne Médina,Maison,6,0,https://www.avito.ma/fr/ancienne_m%C3%A9dina/maisons/Vente_Maison_de_161_m2_%C3%A0_Marrakech_57446433.htm,il y a 6 jours
